Title ID	Region	Name	PKG direct link	zRIF	Content ID	Last Modification Date	File Size	SHA256
NPNA00110	US	Kung Fu FIGHT!	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00110_00_D714D856/1.91/NPNA00110_00.pkg	KO5ifR1dQ3IKmI1FnCQQ6mtgaGqg6xfgB7TV0BDsfgM0MJjiYzJLs/MJ8Qm9yc38AaxvPn9iPvGsZevtlf6mCRINK4UnarHVbHPssllYNJHbdNH+IE3/z8qHGxt4hLZfSF47OVKutOerzIQjj90n/1vaJzl/Yuj7y515T6sUGY/bb5ysHblooUbJpqu/lI+Lv/EwnRDSrjEz4P46wzmZD9ckHFqWzVMte+kD58EVRnmx3nPCDsgrM7jo8z//kzyx4BljqAWn0MGNXybLhde8D9m+ZMLnyz6ON27HcTtens+X8ePrlxf6C/QWCW58vod10a/L17POXWA5mRkzJf6z7atfDiIZrq88V653jd+1ryHyVYd8orJdWJhWQMWckyzMAgt+f1l+SrOS4V+J0yS5hX02/5ad483beItnYuvaL0cY5xn0brnK/efE8nMv/OPPXw8Ndqz2mbRdl0XPmC/tadPuy+/3/8iNnFQp/FAvbL5HheKX30U/LRQLyn48fldg1Xq4ZW+JxCLRoiMTpt8PusnZdDqhS+XqjR8/rV9ciZ36jX1TdOqbku8/0l28eO/ufvPqtOxx7qczY0zeVgU0PVe+Z3Tclm+q7LT880YXb6zcb76kY0HShe+3ne4nhNzc7n2s4MeClV5b5q/49/jzvV72+iWbppiEX/k5o+uFsl3Hy1jmF9o/3ue/9Z5ZU1Y7vXnXFg3FaatkjXK/8BpnrthRdCv0oPTkW5nsYbrWMw7N5YqYteSUzVqdmMCqcPuHBjMsGUY4AAC6SxKP	UM0150-NPNA00110_00-0000000000000000	2017-11-14 01:13:18	23199904	349072a27ed77a1956a876383852c2ade964583f76305deeee55b2b0c5db978f
NPNA00111	US	rymdkapsel	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00111_00_0B6E569A/3.01/NPNA00111_00.pkg	KO5ifR1dQ3IKmI1FnCQQ6mtgaGyq6xfgB7TV0NAQ5H4DNDCY4sMiZpEng29TbeTmW5H/dGrXm0ivkFxYv/Zl4pYJuSsvtZ2/e2aWyQOj1i8b1UXP3ru54OE/7uJbXzfybctZvznl7Xb2XVuvC3zi2mgzodOqQVgwM6exi+nh1EV55Uqma0PE1q4r9xdL21xtozXl2dqKTXci+nn+Pu+a4Bq82Eju2q/wZ/28and3PonbVTE5TfttvNelmf+6q7yuTD9YGjvXREO4tKLJ44X9TPmtaQ7StUzyQZsjHu/6v1i6z+WZR4XDz20T16lf8rVab98eEenyZIvUtDPN8bHXWZf1aa20+1apLbQldMWO5urq08tX7Yh5LNPx3MNqyr2bmpHHlj36pJFh4LRXUeT4M5l/LEbr9VM6WY7Jbqusurd92Zo3gWebls29e/GQY1PbjKgVfGkKPB06hWd/eKyesCR5S527mcWmg+bJveb7Vmk1FL/+t2jhA7mnUue5Jmis2/01qbfuzvQZEyfn/Z+zxuLStrlRm2bcYawpDj/+5N3WKkv2giqlXe7CLPxLFoc/ktpgV7b007UHp7e1+4f9Kw/etPu2y9MWa7fVO2R/G86995I3ScHqjsaM0KnP7rAavT+Y33Ze6odtTtn0tVl7/8eY/9+21WPVpyMXg43tgh/ss2ZRnVHSdCHv9N/v3FHnBHivfxPauUyu6cLXpB61bOMvVYu1Eq9uFvvd+uzDoneyKXvFQzj2qjb3zOWV3v0neP8zX4YRDgBe8BQt	UM0135-NPNA00111_00-0000000000000000	2017-10-23 02:12:24	67483280	6029c0e17a0887b24fcd2fe27f813ecede2eec4b2a3f53ec630c0d184ede18a7
NPNA00112	US	Apocalypse Defense	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00112_00_6CC17BE8/1.00/NPNA00112_00.pkg	MISSING	UM0183-NPNA00112_00-0000000000000000		19569072	37bbeef04f570ffca5716bcaa92967c34b27c460b1ca256d5e5976f527591df5
NPNA00113	US	iFishing Saltwater	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00113_00_0E3C35DF/1.01/NPNA00113_00.pkg	MISSING	UM0105-NPNA00113_00-0000000000000000		37948128	cc481cae2fc5797a4c1479000542faeb6f56d383557423e32387e398eff8644c
NPNA00114	US	Flight of the Turtle	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00114_00_05748EE1/1.00/NPNA00114_00.pkg	MISSING	UM0143-NPNA00114_00-0000000000000000		17255424	1a86e961c48fd4681ef557dfa46ac4f764162c2f98acf8e47d0366a93ef530c6
NPNA00115	US	The Labyrinth	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00115_00_81D0EEAE/1.00/NPNA00115_00.pkg	KO5ifR1dQ3IKmI1FnCQQ6mtgaGCq6xfgB7TV0NAU5H4DNDCY4sN27YrKzvi5utonXXNWirrO/LLCeGPGkrnV5qKLrXNeSWx8XOFTfO3GZZfTzPkTg6U7eecLn8p8+XdxyT2NVa9P3HuQy+MpvmpKm4zMwTMFsS0eTMrLjIwmXH7poFahKHl52pdwg1cpl5xuSkknZT0sedNo6pq9cJq1+hPRnbE8Wze84K30LjyyfPqFOPavmRJ/3AqKJ3ULOs+S2RLDuzeEz+hN2rWfX5n5FuTPnRidtaXo6ecvpZkHCy9ouBXpaScmz15+4k4nF+ehopkXnt6a9fvj1F31rx9lWl/eWeDV16n1kJFVJeDEc7uvqpf7XntOZnl6dN+27izHMNe6t3UtsTfTduW/8Hna8Xr64feX5AWuHuHv/KqvsXxz4ap3HfEb7txI+NhacnCvc+eTBOVPS7XqCvrmHJbYb792w4rb3c4ynZleZwSuKgMjtkzqjlHO8XIB8QNXuPNPbT1+8to13xXza68s8Iu7PHGq0o2KDYZc+842SIgbPpxbyPenIulai0Zi1vp5+4O9rBS+qt/+dCXaoofX+caHc49yWou2lkyu36VkVeDlEL4xl2tVGIP5q8VXNVeGR3w8NimZUatETyBfsX/ZLTVx43WX6i2XKj6c3Z828QOTpGrvjeLq1xfD1J+WNwtkzz2/WjkphN9vqVNXWK7u5n0vz3Kem69xULJ80U8O5X9H4uMYFZi+TXR3VJ5zid//uaukKsMIBwCqxwmr	UM0105-NPNA00115_00-0000000000000000	2018-11-05 20:39:21	8166688	ad6744ad54baf3aee82e4b4f8749e088a49b41a383970149cb1ead725e9b414f
NPNA00116	US	MapCache Offline Maps	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00116_00_1F098EEC/1.30/NPNA00116_00.pkg	MISSING	UM0150-NPNA00116_00-0000000000000000		2586608	9ca314b64b0855acf8c3a85307e4542f490e3e5ae0fe2ae670f56a486224d8d9
NPNA00117	US	Ascent of Kings	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00117_00_E3171F7A/1.80/NPNA00117_00.pkg	KO5ifR1dQ3IKmI1FnCQQ6mtgaGqg6xfgB7TV0NAc5H4DNDCY4qPspvL0xq6JxtU6kTcCVxv1narfwRqjwfHBuvuKoXeQgEDZnNjq2YaGu1MuM/uc2v5Xz5ZNa9bHhI6poWUJd2L0c8pPpTx/N39aqB9bUumpe9MDLULZDsx1z3Hcmbd/reeNWu3792RYInSzFNtX+d7puGMfeZvjr/Q5gaB4OafyHU+efviUtHfRt97O3X0hvcuvbZta7lchde7ZdLkXk+4LvDk73XfbPvcoPpkbWc3PJtTrB7BJW/HkWccfidnx6Arr6+Pfbqu+nWMb7279Ueu7oP73T9kt/144Opz/fW1RzZJjhhH7gvQvz2XdvuHj7e0+7Du/HPlSWCJaYXxguclRpRs/3O7pJD7drclue0OHRSnhI9eE8Ac/gioX5TW4Bqxa96GBmbuYybmjpunVobXiKmseiO/cGTB5scak3Mc+YnNvPdDIL1lprfHclZ39C9/Nc9ckzc5+2fr3+pPiIxuu7LhX8Hu2yjkd9i1uLtIxl2df+/Hn6Vel2RuWdZfszuf0OayiXeU1/WjWpRt2U/6dTs1J5l25Of7ZaxVFjwYVlty33x/HTqryuvNx11bP1vtVAdzFxyZ+3NJwl33e5ZA7+xc+m3lbe41p+NLI2MXMFjGzZ8uGLyy9/YP/S5j/xOy7kxX2+4XZGe78M2sPR96sJc2uhk8WZtUyzrPo4Gi/U91pECK8vYY1+Oba/eF7Mr1vtre9X/fMcP2Kda5hDCMcAAB6lhDS	UM0150-NPNA00117_00-0000000000000000	2018-11-05 20:01:57	10053024	44866717d5e2cc5ac7251874400cf9da10b41743a3a0d947abef16967f78e0da
NPNA00118	US	Seeker	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00118_00_19D924D9/1.00/NPNA00118_00.pkg	MISSING	UM0183-NPNA00118_00-0000000000000000		4978720	6e0249e1a3bbad68379f873ef65d59c8fe90495d12a4dc7dfca92c068decad3e
NPNA00119	US	Runner	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00119_00_EC37FD71/1.00/NPNA00119_00.pkg	MISSING	UM0183-NPNA00119_00-0000000000000000		3617728	66c0dd7275b930df4a1e4c2e8d0ab6971316620a2c42946ad9f20b82e2c0f976
