Title ID	Region	Name	PKG direct link	Content ID	Last Modification Date	RAP	Download .RAP file	File Size	SHA256
NPJH50696	JP	Summon Night 5	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50696/NPJH50696_T0/39e351c957c82b94/JP0700-NPJH50696_00-SUMMONNIGHT5UP01-A0101-V0100-PE.pkg	JP0700-NPJH50696_00-SUMMONNIGHT5UP01		NOT REQUIRED		2994592	e191b2506db804dc4f73f9e22f43ce6f085d8141123304326624336c57d726c6
NPJH50698	JP	不思議のダンジョン 風来のシレン4 plus 神の眼と悪魔のヘソ	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50698/NPJH50698_T3/9b69dc90a9874eb8/JP0365-NPJH50698_00-SIREN4PLUS2012MA-A0310-V0310-PE.pkg	JP0365-NPJH50698_00-SIREN4PLUS2012MA		NOT REQUIRED		1907104	12946384d962ba30c50545a57888cddc5922a65a539538d1f3f6e270745c0ef9
NPJH50701	JP	Sword Art Online Infinity Moment	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50701/NPJH50701_T0/ad1942d78c448584/JP0700-NPJH50701_00-SWORDARTPATCH101-A0101-V0100-PE.pkg	JP0700-NPJH50701_00-SWORDARTPATCH101		NOT REQUIRED		15167376	6b482f1acd6e50db93f6939f1501713b1feb08d97ff5dccc9ed936f2a23726fa
NPJH50714	JP	鬼ごっこ！Portable	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50714/NPJH50714_T0/20f612ee22607e28/JP0394-NPJH50714_00-ONIGOKKOPORTABLE-A0101-V0100-PE.pkg	JP0394-NPJH50714_00-ONIGOKKOPORTABLE		NOT REQUIRED		1416144	e019a0e5a74044cd452cde70c46df9665bef22c9a8a9165aef79dd8bb5b23f7c
NPJH50721	JP	フロンティアゲートブーストプラス	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50721/NPJH50721_T0/33ecd520ffe171d1/JP0101-NPJH50721_00-GAMEUPDATE000101-A0101-V0101-PE.pkg	JP0101-NPJH50721_00-GAMEUPDATE000101		NOT REQUIRED		34121760	006b7fe5b3c4d8c5754ff60d4dc91fe0c262a29a2c7634463e1ed7b39a66cb76
NPJH50724	JP	L@ve once	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50724/NPJH50724_T3/c5bbc319bf2b9f3f/JP0530-NPJH50724_00-GAMEPATCH0000001-A0101-V0100-PE.pkg	JP0530-NPJH50724_00-GAMEPATCH0000001		NOT REQUIRED		1000640	7ed5a508c1db5dae12d1aedabdf9413f5781fff6817782c86e1d204dd6cd3693
NPJH50744	JP	ダンジョントラベラーズ２ 王立図書館とマモノの封印	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50744/NPJH50744_T1/801109d78517c6d7/JP0761-NPJH50744_00-GAMEUPDATE000001-A0101-V0100-PE.pkg	JP0761-NPJH50744_00-GAMEUPDATE000001		NOT REQUIRED		5053456	541d72682fd32b5f0a37e487bbfc42afeaba699c0c14eac8e69866956ab4584f
NPJH50789	JP	討鬼伝 PSP® the Best	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50789/NPJH50789_T7/69e1704ed41bf411/JP0106-NPJH50789_00-PKGTOUKIDEN00106-A0106-V0100-PE.pkg	JP0106-NPJH50789_00-PKGTOUKIDEN00106		NOT REQUIRED		42641168	f2de015de21d8be5fc0cc7173a3d49d680c6bc2d63e50f1e39667f96f26be249
NPJH50803	JP	咲-Saki- 阿知賀編 episode of side-A Portable	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50803/NPJH50803_T0/5465e5d3a3039647/JP0394-NPJH50803_00-SAKI2PATCH000101-A0101-V0100-PE.pkg	JP0394-NPJH50803_00-SAKI2PATCH000101		NOT REQUIRED		2552816	1ed6da1fd1a32e76077591bf2799dd9c7666ff8c4ff97d8404c3617b3397b35a
NPJH50816	JP	エルミナージュⅢ　～暗黒の使徒と太陽の宮殿～	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50816/NPJH50816_T2/8c188258ec794b90/JP0075-NPJH50816_00-ELMINAGE30000101-A0101-V0100-PE.pkg	JP0075-NPJH50816_00-ELMINAGE30000101		NOT REQUIRED		290503056	f78b61937b1bed255641881ad81bc84867e418125c27bd37db536c5a7bba33dc
